USGG10YR Index;;GCAN10YR Index;;GUKG10 Index;;GDBR10 Index;;GFRN10 Index;;GBTPGR10 Index;
Date;PX_LAST;Date;PX_LAST;Date;PX_LAST;Date;PX_LAST;Date;PX_LAST;Date;PX_LAST
03.01.2000;6.592;03.01.2000;6.346;03.01.2000;5.414;03.01.2000;5.478;03.01.2000;5.593;03.01.2000;5.729
04.01.2000;6.497;04.01.2000;6.402;04.01.2000;5.662;04.01.2000;5.492;04.01.2000;5.611;04.01.2000;5.728
05.01.2000;6.594;05.01.2000;6.476;05.01.2000;5.754;05.01.2000;5.516;05.01.2000;5.643;05.01.2000;5.738
06.01.2000;6.524;06.01.2000;6.41;06.01.2000;5.763;06.01.2000;5.545;06.01.2000;5.678;06.01.2000;5.784
07.01.2000;6.515;07.01.2000;6.406;07.01.2000;5.707;07.01.2000;5.443;07.01.2000;5.567;07.01.2000;5.667
10.01.2000;6.552;10.01.2000;6.421;10.01.2000;5.63;10.01.2000;5.415;10.01.2000;5.53;10.01.2000;5.644
11.01.2000;6.657;11.01.2000;6.482;11.01.2000;5.715;11.01.2000;5.541;11.01.2000;5.657;11.01.2000;5.774
12.01.2000;6.703;12.01.2000;6.508;12.01.2000;5.757;12.01.2000;5.549;12.01.2000;5.67;12.01.2000;5.792
13.01.2000;6.63;13.01.2000;6.447;13.01.2000;5.663;13.01.2000;5.514;13.01.2000;5.635;13.01.2000;5.762
14.01.2000;6.679;14.01.2000;6.485;14.01.2000;5.71;14.01.2000;5.552;14.01.2000;5.665;14.01.2000;5.802
17.01.2000;6.681;17.01.2000;6.487;17.01.2000;5.77;17.01.2000;5.559;17.01.2000;5.672;17.01.2000;5.801
18.01.2000;6.748;18.01.2000;6.552;18.01.2000;5.867;18.01.2000;5.644;18.01.2000;5.758;18.01.2000;5.879
19.01.2000;6.732;19.01.2000;6.572;19.01.2000;5.801;19.01.2000;5.601;19.01.2000;5.718;19.01.2000;5.856
20.01.2000;6.788;20.01.2000;6.604;20.01.2000;5.844;20.01.2000;5.581;20.01.2000;5.713;20.01.2000;5.832
21.01.2000;6.765;21.01.2000;6.588;21.01.2000;5.8;21.01.2000;5.584;21.01.2000;5.705;21.01.2000;5.833
24.01.2000;6.685;24.01.2000;6.496;24.01.2000;5.774;24.01.2000;5.57;24.01.2000;5.698;24.01.2000;5.826
25.01.2000;6.692;25.01.2000;6.508;25.01.2000;5.706;25.01.2000;5.515;25.01.2000;5.637;25.01.2000;5.75
26.01.2000;6.664;26.01.2000;6.434;26.01.2000;5.705;26.01.2000;5.526;26.01.2000;5.649;26.01.2000;5.769
27.01.2000;6.692;27.01.2000;6.529;27.01.2000;5.815;27.01.2000;5.628;27.01.2000;5.751;27.01.2000;5.871
28.01.2000;6.658;28.01.2000;6.532;28.01.2000;5.84;28.01.2000;5.63;28.01.2000;5.733;28.01.2000;5.895
31.01.2000;6.665;31.01.2000;6.538;31.01.2000;5.738;31.01.2000;5.541;31.01.2000;5.657;31.01.2000;5.782
01.02.2000;6.619;01.02.2000;6.485;01.02.2000;5.591;01.02.2000;5.459;01.02.2000;5.592;01.02.2000;5.703
02.02.2000;6.573;02.02.2000;6.422;02.02.2000;5.608;02.02.2000;5.47;02.02.2000;5.611;02.02.2000;5.722
03.02.2000;6.489;03.02.2000;6.321;03.02.2000;5.552;03.02.2000;5.443;03.02.2000;5.572;03.02.2000;5.689
04.02.2000;6.549;04.02.2000;6.431;04.02.2000;5.642;04.02.2000;5.494;04.02.2000;5.636;04.02.2000;5.775
07.02.2000;6.639;07.02.2000;6.471;07.02.2000;5.658;07.02.2000;5.53;07.02.2000;5.661;07.02.2000;5.772
